City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Datetime
Omboué,-1.57,9.26,76.35,91,88,5.7,GA,1607313768
Zacualpan,21.25,-105.17,72.0,88,90,3.83,MX,1607313768
Fortuna,40.6,-124.16,46.0,93,38,3.74,US,1607313769
Norman Wells,65.28,-126.83,1.4,91,75,2.24,CA,1607313543
Punta Arenas,-53.15,-70.92,59.0,67,100,17.22,CL,1607313433
Puerto Ayora,-0.74,-90.35,72.0,93,66,3.0,EC,1607313743
Mahon,39.89,4.27,51.8,62,1,11.41,ES,1607313769
Inongo,-1.95,18.27,70.12,95,65,1.74,CD,1607313689
Rikitea,-23.12,-134.97,76.96,80,0,15.35,PF,1607313689
Vicuña,-30.03,-70.71,55.4,87,0,6.93,CL,1607313770
Khatanga,71.97,102.5,-19.61,88,81,3.15,RU,1607313770
Shelburne,44.08,-80.2,21.99,90,22,5.99,CA,1607313770
Springbok,-29.66,17.89,43.97,80,4,1.52,ZA,1607313770
Coahuayana Viejo,18.73,-103.68,74.35,73,96,2.42,MX,1607313770
Kovūr,14.48,79.98,80.62,81,38,14.54,IN,1607313770
Mataura,-46.19,168.86,67.35,39,80,9.66,NZ,1607313714
Kruisfontein,-34.0,24.73,66.99,92,100,8.99,ZA,1607313771
Tomatlán,19.93,-105.25,70.07,84,100,1.9,MX,1607313771
Cabo San Lucas,22.89,-109.91,66.2,72,5,4.7,MX,1607313771
Ribeira Grande,38.52,-28.7,60.26,65,95,4.74,PT,1607313772
Zhigansk,66.77,123.37,-12.06,89,98,11.68,RU,1607313772
Virginia Beach,36.85,-75.98,41.0,62,90,2.28,US,1607313412
Cidreira,-30.18,-50.21,66.07,87,94,19.08,BR,1607313772
Busselton,-33.65,115.33,79.0,30,0,2.75,AU,1607313599
Hobart,-42.88,147.33,57.2,54,75,21.92,AU,1607313610
Bengkulu,-3.8,102.27,84.61,66,22,7.23,ID,1607313691
Tucupita,9.06,-62.05,72.41,98,88,2.55,VE,1607313773
Marsh Harbour,26.54,-77.06,75.06,78,100,13.67,BS,1607313773
Port Elizabeth,-33.92,25.57,66.2,93,90,14.99,ZA,1607313773
Port Shepstone,-30.74,30.45,71.56,78,100,1.45,ZA,1607313773
Iqaluit,63.75,-68.51,14.0,72,90,10.29,CA,1607313695
Souillac,-20.52,57.52,78.8,83,40,8.05,MU,1607313720
Marabu,4.41,114.01,86.0,79,40,4.7,MY,1607313774
Hasaki,35.73,140.83,63.0,67,20,1.12,JP,1607313713
Saldanha,-33.01,17.94,60.8,87,37,9.17,ZA,1607313774
Jamestown,42.1,-79.24,28.99,97,90,6.93,US,1607313503
Muravlenko,63.79,74.52,17.92,96,73,21.32,RU,1607313774
Yellowknife,62.46,-114.35,15.8,92,90,3.36,CA,1607313752
Kutum,14.2,24.67,59.92,33,25,7.0,SD,1607313774
Atuona,-9.8,-139.03,78.87,77,5,17.92,PF,1607313697
Worthing,50.81,-0.37,39.0,3,9,6.06,GB,1607313647
Torbay,47.67,-52.73,51.8,93,90,12.75,CA,1607313775
Port Alfred,-33.59,26.89,69.22,90,100,26.28,ZA,1607313703
Burnie,-41.07,145.92,63.0,49,82,8.01,AU,1607313482
Rio Grande,-32.03,-52.1,61.0,96,100,1.99,BR,1607313775
El Pueblito,20.53,-100.45,51.8,100,90,6.93,MX,1607313775
Peniche,39.36,-9.38,59.0,79,65,13.0,PT,1607313776
Cape Town,-33.93,18.42,64.99,93,40,12.75,ZA,1607313575
Kapaa,22.08,-159.32,80.6,69,90,2.15,US,1607313479
Bluff,-46.6,168.33,60.96,60,24,14.63,NZ,1607313776
Ushuaia,-54.8,-68.3,48.2,93,90,13.87,AR,1607313661
Qaanaaq,77.48,-69.36,-0.8,74,99,3.18,GL,1607313740
George Town,5.41,100.34,86.0,74,20,3.36,MY,1607313700
